State Code,Response,Coverage,Education,EmploymentStatus,Gender,Location Code,Marital Status,Number of Open Complaints,Number of Policies,Policy Type,Policy,Claim Reason,Sales Channel,Vehicle Class,Vehicle Size
IA,No,Extended,College,Employed,F,Suburban,Married,0,3,Corporate Auto,Corporate L1,Other,Call Center,Four-Door Car,Large
KS,Yes,Basic,High School or Below,Unemployed,F,Suburban,Divorced,0,3,Personal Auto,Personal L3,Collision,Web,Sports Car,Medsize
MO,No,Basic,Bachelor,Employed,M,Suburban,Divorced,0,8,Personal Auto,Personal L2,Collision,Call Center,Four-Door Car,Medsize
IA,No,Basic,College,Disabled,F,Suburban,Married,0,2,Personal Auto,Personal L3,Hail,Call Center,SUV,Small
OK,Yes,Basic,High School or Below,Employed,F,Rural,Single,0,1,Corporate Auto,Corporate L3,Hail,Agent,Four-Door Car,Medsize
NE,Yes,Basic,Bachelor,Unemployed,F,Suburban,Married,0,5,Corporate Auto,Corporate L1,Collision,Call Center,Four-Door Car,Medsize
IA,No,Premium,Bachelor,Unemployed,F,Suburban,Married,0,1,Personal Auto,Personal L3,Collision,Web,SUV,Small
MO,No,Basic,Bachelor,Employed,F,Rural,Married,0,2,Personal Auto,Personal L2,Collision,Web,Four-Door Car,Large
KS,No,Basic,Bachelor,Employed,F,Suburban,Single,1,1,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Small
IA,No,Basic,College,Unemployed,F,Suburban,Divorced,0,4,Corporate Auto,Corporate L3,Collision,Branch,Four-Door Car,Small
MO,No,Extended,Bachelor,Disabled,M,Suburban,Divorced,0,1,Corporate Auto,Corporate L2,Scratch/Dent,Agent,Two-Door Car,Medsize
IA,No,Extended,Bachelor,Unemployed,M,Suburban,Single,0,1,Corporate Auto,Corporate L3,Collision,Branch,Luxury SUV,Medsize
OK,No,Basic,Bachelor,Employed,F,Suburban,Divorced,0,2,Personal Auto,Personal L3,Collision,Call Center,Two-Door Car,Medsize
IA,No,Extended,Bachelor,Employed,M,Urban,Married,0,3,Personal Auto,Personal L3,Other,Call Center,Four-Door Car,Large
MO,No,Basic,Master,Employed,F,Urban,Married,1,4,Personal Auto,Personal L3,Hail,Call Center,Two-Door Car,Small
MO,No,Basic,Bachelor,Unemployed,M,Suburban,Married,0,2,Personal Auto,Personal L1,Collision,Agent,Four-Door Car,Small
NE,No,Basic,High School or Below,Employed,M,Suburban,Married,0,4,Personal Auto,Personal L2,Hail,Agent,Four-Door Car,Medsize
NE,No,Extended,Master,Employed,F,Rural,Single,0,2,Corporate Auto,Corporate L3,Hail,Call Center,Four-Door Car,Medsize
NE,No,Basic,High School or Below,Unemployed,F,Suburban,Single,0,1,Corporate Auto,Corporate L3,Hail,Call Center,Sports Car,Medsize
IA,No,Premium,High School or Below,Employed,M,Suburban,Married,0,1,Personal Auto,Personal L3,Other,Call Center,Four-Door Car,Medsize
IA,No,Basic,Master,Disabled,M,Rural,Married,0,3,Special Auto,Special L3,Collision,Web,Two-Door Car,Medsize
MO,No,Extended,College,Unemployed,M,Suburban,Single,2,2,Personal Auto,Personal L3,Scratch/Dent,Branch,Two-Door Car,Medsize
MO,No,Basic,Bachelor,Unemployed,M,Suburban,Married,4,3,Personal Auto,Personal L2,Other,Web,Two-Door Car,Medsize
KS,No,Premium,Bachelor,Employed,M,Rural,Single,0,3,Personal Auto,Personal L2,Collision,Branch,Two-Door Car,Medsize
MO,No,Basic,Bachelor,Unemployed,M,Suburban,Single,0,7,Personal Auto,Personal L2,Collision,Agent,Four-Door Car,Medsize
IA,No,Premium,Bachelor,Employed,F,Suburban,Married,1,8,Personal Auto,Personal L1,Scratch/Dent,Branch,Four-Door Car,Medsize
NE,No,Basic,Bachelor,Unemployed,F,Suburban,Single,0,3,Corporate Auto,Corporate L2,Scratch/Dent,Web,Four-Door Car,Small
MO,No,Basic,College,Employed,M,Suburban,Married,1,2,Personal Auto,Personal L3,Collision,Agent,SUV,Medsize
IA,No,Premium,High School or Below,Unemployed,M,Suburban,Divorced,0,8,Corporate Auto,Corporate L3,Scratch/Dent,Web,Four-Door Car,Medsize
IA,Yes,Basic,High School or Below,Retired,M,Suburban,Married,1,9,Personal Auto,Personal L2,Collision,Web,Sports Car,Medsize
KS,Yes,Basic,College,Unemployed,F,Suburban,Divorced,0,4,Corporate Auto,Corporate L3,Collision,Agent,SUV,Medsize
IA,Yes,Premium,Bachelor,Employed,F,Rural,Divorced,0,1,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Medsize
IA,Yes,Basic,High School or Below,Employed,F,Urban,Married,0,1,Personal Auto,Personal L3,Collision,Agent,SUV,Medsize
IA,No,Premium,Master,Employed,F,Suburban,Divorced,2,3,Corporate Auto,Corporate L3,Collision,Branch,Four-Door Car,Medsize
MO,No,Extended,Bachelor,Employed,F,Suburban,Married,0,1,Personal Auto,Personal L3,Hail,Agent,Two-Door Car,Small
NE,No,Basic,College,Employed,F,Rural,Married,0,1,Corporate Auto,Corporate L3,Other,Agent,SUV,Small
MO,No,Basic,College,Unemployed,F,Suburban,Single,0,5,Personal Auto,Personal L2,Hail,Call Center,Four-Door Car,Medsize
OK,No,Extended,High School or Below,Unemployed,F,Suburban,Single,1,2,Personal Auto,Personal L2,Hail,Web,Four-Door Car,Small
MO,No,Extended,Bachelor,Employed,M,Suburban,Single,0,2,Personal Auto,Personal L1,Collision,Call Center,Two-Door Car,Medsize
MO,No,Basic,College,Employed,F,Suburban,Divorced,0,1,Personal Auto,Personal L1,Collision,Agent,Two-Door Car,Medsize
NE,No,Basic,High School or Below,Unemployed,M,Suburban,Married,0,1,Personal Auto,Personal L3,Collision,Call Center,Two-Door Car,Medsize
NE,No,Basic,Bachelor,Unemployed,F,Rural,Married,0,5,Personal Auto,Personal L2,Collision,Web,Four-Door Car,Medsize
MO,No,Premium,High School or Below,Employed,M,Suburban,Married,0,2,Personal Auto,Personal L3,Other,Call Center,SUV,Small
MO,Yes,Basic,High School or Below,Employed,F,Suburban,Single,0,3,Personal Auto,Personal L3,Hail,Call Center,Four-Door Car,Medsize
KS,No,Basic,Master,Disabled,M,Urban,Divorced,0,8,Personal Auto,Personal L3,Other,Web,Four-Door Car,Medsize
MO,No,Premium,College,Disabled,F,Rural,Married,2,3,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Medsize
KS,No,Basic,Master,Employed,F,Rural,Married,0,3,Personal Auto,Personal L3,Hail,Web,Two-Door Car,Medsize
IA,No,Basic,Master,Employed,F,Urban,Divorced,3,1,Personal Auto,Personal L2,Hail,Branch,SUV,Medsize
MO,No,Basic,Doctor,Employed,M,Suburban,Married,1,4,Personal Auto,Personal L3,Other,Call Center,Four-Door Car,Small
MO,No,Basic,Bachelor,Unemployed,F,Suburban,Single,0,2,Personal Auto,Personal L2,Hail,Agent,Sports Car,Large
NE,No,Extended,Bachelor,Employed,M,Suburban,Divorced,0,1,Corporate Auto,Corporate L2,Collision,Call Center,Four-Door Car,Small
IA,No,Basic,Bachelor,Employed,F,Rural,Married,0,1,Personal Auto,Personal L3,Hail,Web,Four-Door Car,Medsize
MO,No,Basic,High School or Below,Unemployed,F,Suburban,Single,0,9,Personal Auto,Personal L1,Collision,Branch,Sports Car,Medsize
IA,No,Basic,Master,Employed,F,Rural,Married,0,3,Personal Auto,Personal L3,Hail,Branch,Two-Door Car,Medsize
MO,No,Premium,Bachelor,Employed,F,Suburban,Married,0,1,Personal Auto,Personal L2,Other,Branch,SUV,Medsize
NE,No,Extended,College,Employed,M,Urban,Married,0,1,Personal Auto,Personal L1,Hail,Call Center,Four-Door Car,Medsize
NE,No,Basic,College,Employed,F,Suburban,Married,1,2,Personal Auto,Personal L3,Other,Call Center,SUV,Small
KS,No,Basic,High School or Below,Employed,F,Urban,Married,4,1,Corporate Auto,Corporate L2,Collision,Branch,Two-Door Car,Medsize
MO,No,Basic,Master,Employed,F,Rural,Single,0,2,Personal Auto,Personal L2,Hail,Branch,Four-Door Car,Medsize
MO,No,Extended,College,Unemployed,F,Suburban,Single,0,2,Personal Auto,Personal L1,Collision,Agent,Four-Door Car,Small
IA,No,Extended,High School or Below,Employed,M,Suburban,Divorced,0,6,Corporate Auto,Corporate L3,Scratch/Dent,Agent,Four-Door Car,Medsize
OK,Yes,Premium,High School or Below,Employed,F,Suburban,Single,0,2,Personal Auto,Personal L1,Collision,Agent,Four-Door Car,Medsize
KS,No,Extended,Bachelor,Medical Leave,F,Suburban,Divorced,0,1,Corporate Auto,Corporate L2,Collision,Branch,SUV,Medsize
OK,No,Extended,Bachelor,Employed,F,Rural,Married,0,2,Personal Auto,Personal L3,Collision,Agent,Luxury SUV,Small
MO,No,Basic,Master,Unemployed,F,Suburban,Married,0,2,Personal Auto,Personal L3,Collision,Call Center,Sports Car,Large
IA,No,Premium,College,Employed,M,Urban,Married,0,5,Personal Auto,Personal L3,Scratch/Dent,Call Center,SUV,Medsize
MO,No,Basic,High School or Below,Unemployed,F,Suburban,Divorced,0,1,Personal Auto,Personal L3,Scratch/Dent,Branch,Two-Door Car,Medsize
KS,No,Basic,Bachelor,Employed,M,Suburban,Married,1,9,Personal Auto,Personal L1,Collision,Call Center,Four-Door Car,Medsize
IA,No,Basic,Master,Employed,M,Suburban,Married,0,1,Personal Auto,Personal L3,Other,Agent,SUV,Medsize
NE,No,Extended,High School or Below,Unemployed,M,Suburban,Single,1,8,Personal Auto,Personal L3,Collision,Agent,Sports Car,Small
MO,No,Extended,Bachelor,Employed,M,Rural,Married,0,2,Personal Auto,Personal L3,Collision,Call Center,Luxury Car,Small
IA,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,0,1,Corporate Auto,Corporate L3,Hail,Agent,SUV,Medsize
KS,No,Basic,College,Employed,F,Suburban,Single,0,1,Personal Auto,Personal L1,Collision,Branch,Two-Door Car,Medsize
KS,Yes,Extended,Bachelor,Employed,F,Suburban,Single,0,1,Corporate Auto,Corporate L2,Hail,Agent,SUV,Medsize
IA,No,Extended,Bachelor,Employed,F,Rural,Married,0,2,Personal Auto,Personal L1,Scratch/Dent,Call Center,Four-Door Car,Large
KS,No,Premium,College,Medical Leave,M,Suburban,Married,1,1,Corporate Auto,Corporate L1,Collision,Call Center,Four-Door Car,Small
IA,No,Basic,High School or Below,Unemployed,F,Suburban,Married,0,2,Personal Auto,Personal L2,Collision,Agent,Four-Door Car,Medsize
MO,No,Extended,High School or Below,Unemployed,M,Suburban,Single,0,4,Personal Auto,Personal L3,Collision,Web,Four-Door Car,Medsize
KS,No,Basic,Bachelor,Employed,M,Rural,Single,0,1,Personal Auto,Personal L2,Hail,Call Center,SUV,Medsize
IA,No,Basic,High School or Below,Unemployed,F,Suburban,Single,0,4,Personal Auto,Personal L3,Collision,Branch,Four-Door Car,Large
IA,No,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,0,1,Corporate Auto,Corporate L1,Collision,Branch,Four-Door Car,Medsize
MO,No,Basic,High School or Below,Employed,M,Suburban,Single,0,2,Corporate Auto,Corporate L1,Collision,Agent,Four-Door Car,Medsize
MO,No,Basic,College,Disabled,F,Suburban,Married,1,9,Personal Auto,Personal L1,Collision,Web,SUV,Medsize
IA,No,Basic,College,Medical Leave,M,Suburban,Married,0,1,Personal Auto,Personal L2,Hail,Branch,Four-Door Car,Small
IA,No,Extended,Bachelor,Unemployed,F,Suburban,Single,0,1,Corporate Auto,Corporate L1,Other,Web,Four-Door Car,Medsize
MO,No,Basic,High School or Below,Employed,M,Rural,Married,2,1,Personal Auto,Personal L2,Hail,Branch,Four-Door Car,Medsize
NE,No,Premium,High School or Below,Unemployed,M,Suburban,Married,0,1,Corporate Auto,Corporate L2,Other,Branch,Two-Door Car,Medsize
OK,No,Basic,College,Unemployed,M,Suburban,Married,0,2,Personal Auto,Personal L2,Collision,Agent,Two-Door Car,Medsize
KS,No,Basic,Bachelor,Unemployed,F,Suburban,Single,0,1,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Medsize
NE,Yes,Basic,College,Employed,F,Suburban,Married,0,9,Personal Auto,Personal L2,Collision,Agent,Four-Door Car,Medsize
NE,No,Extended,College,Unemployed,F,Suburban,Single,0,3,Personal Auto,Personal L3,Scratch/Dent,Call Center,Four-Door Car,Medsize
IA,No,Basic,High School or Below,Employed,M,Suburban,Married,0,3,Personal Auto,Personal L3,Hail,Agent,Two-Door Car,Small
IA,No,Basic,College,Employed,F,Suburban,Single,0,2,Personal Auto,Personal L3,Scratch/Dent,Web,Four-Door Car,Large
MO,No,Basic,Master,Employed,F,Rural,Married,0,9,Personal Auto,Personal L3,Other,Branch,Four-Door Car,Medsize
NE,No,Basic,High School or Below,Unemployed,F,Suburban,Single,0,1,Personal Auto,Personal L1,Collision,Branch,Four-Door Car,Small
OK,No,Extended,Bachelor,Employed,F,Suburban,Single,0,1,Corporate Auto,Corporate L2,Scratch/Dent,Web,Two-Door Car,Small
NE,Yes,Basic,College,Employed,M,Urban,Married,0,2,Personal Auto,Personal L3,Hail,Web,Four-Door Car,Medsize
IA,No,Basic,College,Employed,F,Rural,Married,2,4,Corporate Auto,Corporate L3,Hail,Agent,SUV,Medsize
IA,No,Basic,High School or Below,Employed,M,Suburban,Married,0,1,Corporate Auto,Corporate L3,Hail,Agent,Two-Door Car,Small
IA,No,Extended,College,Employed,M,Rural,Single,3,2,Corporate Auto,Corporate L3,Collision,Call Center,Sports Car,Medsize
MO,No,Basic,High School or Below,Unemployed,F,Suburban,Married,1,3,Personal Auto,Personal L2,Hail,Web,Two-Door Car,Medsize
IA,No,Basic,High School or Below,Unemployed,F,Suburban,Single,0,2,Personal Auto,Personal L3,Hail,Call Center,Two-Door Car,Large
IA,Yes,Basic,High School or Below,Employed,M,Suburban,Single,0,8,Corporate Auto,Corporate L3,Hail,Call Center,Four-Door Car,Medsize
NE,No,Basic,College,Unemployed,M,Rural,Married,0,6,Personal Auto,Personal L1,Scratch/Dent,Agent,Two-Door Car,Medsize
IA,Yes,Basic,College,Employed,M,Suburban,Divorced,0,1,Personal Auto,Personal L3,Collision,Agent,Two-Door Car,Medsize
NE,No,Basic,College,Employed,M,Urban,Married,0,7,Corporate Auto,Corporate L3,Hail,Web,Four-Door Car,Medsize
NE,No,Extended,Bachelor,Unemployed,F,Suburban,Single,0,2,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Large
IA,No,Basic,High School or Below,Employed,F,Rural,Divorced,2,6,Personal Auto,Personal L3,Collision,Call Center,SUV,Medsize
IA,No,Basic,Doctor,Medical Leave,M,Urban,Married,0,9,Personal Auto,Personal L1,Hail,Call Center,SUV,Medsize
KS,No,Basic,High School or Below,Employed,F,Suburban,Married,0,1,Personal Auto,Personal L2,Collision,Branch,SUV,Medsize
IA,No,Basic,High School or Below,Unemployed,F,Suburban,Single,0,1,Personal Auto,Personal L1,Collision,Agent,Four-Door Car,Small
NE,No,Basic,Bachelor,Employed,M,Suburban,Married,2,4,Personal Auto,Personal L3,Other,Agent,Four-Door Car,Small
IA,Yes,Extended,College,Employed,F,Suburban,Married,0,3,Corporate Auto,Corporate L2,Collision,Branch,SUV,Medsize
MO,No,Extended,High School or Below,Unemployed,M,Suburban,Married,4,1,Personal Auto,Personal L3,Collision,Branch,Two-Door Car,Medsize
MO,No,Extended,High School or Below,Medical Leave,M,Suburban,Married,3,1,Corporate Auto,Corporate L2,Collision,Branch,Four-Door Car,Medsize
MO,No,Basic,Bachelor,Employed,M,Suburban,Single,3,2,Corporate Auto,Corporate L3,Hail,Agent,SUV,Small
OK,No,Extended,College,Employed,M,Suburban,Married,0,1,Personal Auto,Personal L2,Other,Branch,Four-Door Car,Medsize
MO,Yes,Premium,College,Employed,M,Suburban,Single,0,1,Personal Auto,Personal L3,Hail,Branch,Sports Car,Medsize
IA,No,Basic,Bachelor,Employed,M,Rural,Married,0,1,Personal Auto,Personal L3,Hail,Branch,Two-Door Car,Medsize
IA,No,Extended,Bachelor,Unemployed,F,Suburban,Single,0,6,Special Auto,Special L2,Scratch/Dent,Web,Two-Door Car,Small
IA,No,Basic,High School or Below,Employed,F,Suburban,Married,0,2,Personal Auto,Personal L3,Hail,Agent,Two-Door Car,Medsize
IA,No,Extended,Bachelor,Employed,F,Suburban,Married,1,7,Personal Auto,Personal L1,Other,Web,Four-Door Car,Small
NE,No,Basic,High School or Below,Unemployed,F,Suburban,Married,1,1,Personal Auto,Personal L3,Collision,Branch,Luxury Car,Small
OK,Yes,Basic,High School or Below,Unemployed,M,Suburban,Married,0,3,Personal Auto,Personal L1,Hail,Web,Sports Car,Medsize
MO,No,Basic,Bachelor,Employed,M,Suburban,Married,1,1,Personal Auto,Personal L3,Scratch/Dent,Call Center,Four-Door Car,Medsize
NE,No,Basic,Doctor,Unemployed,F,Suburban,Divorced,2,1,Personal Auto,Personal L2,Collision,Agent,SUV,Medsize
IA,No,Basic,High School or Below,Unemployed,F,Suburban,Single,0,1,Personal Auto,Personal L1,Scratch/Dent,Call Center,SUV,Large
IA,No,Basic,College,Employed,F,Urban,Married,0,1,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Medsize
NE,No,Basic,Master,Employed,F,Rural,Divorced,0,3,Personal Auto,Personal L3,Scratch/Dent,Call Center,Four-Door Car,Medsize
MO,No,Basic,Bachelor,Employed,M,Urban,Married,0,2,Personal Auto,Personal L3,Scratch/Dent,Branch,Four-Door Car,Medsize
MO,Yes,Basic,College,Retired,M,Suburban,Married,1,5,Corporate Auto,Corporate L1,Hail,Agent,Two-Door Car,Medsize
KS,Yes,Basic,High School or Below,Medical Leave,M,Suburban,Single,0,2,Personal Auto,Personal L3,Collision,Call Center,SUV,Medsize
IA,No,Basic,Master,Employed,F,Rural,Married,1,3,Personal Auto,Personal L3,Other,Agent,Sports Car,Small
MO,Yes,Basic,High School or Below,Employed,M,Suburban,Married,0,1,Personal Auto,Personal L2,Hail,Call Center,Four-Door Car,Small
OK,No,Premium,Master,Employed,F,Urban,Married,0,7,Corporate Auto,Corporate L3,Collision,Agent,Four-Door Car,Medsize
IA,Yes,Basic,College,Employed,F,Urban,Married,0,1,Personal Auto,Personal L3,Hail,Agent,Four-Door Car,Medsize
IA,No,Basic,Bachelor,Employed,F,Suburban,Married,0,1,Personal Auto,Personal L3,Hail,Web,Two-Door Car,Large
MO,No,Extended,College,Employed,F,Rural,Single,0,2,Personal Auto,Personal L3,Other,Web,Sports Car,Medsize
